[I 2025-09-26 21:23:24,090] Trial 24 finished with value: 0.8291183865635386 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:25:00,719] Trial 25 finished with value: 0.8393797171599717 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.01, 'win_size': 8}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:26:03,719] Trial 26 finished with value: 0.850312120399399 and parameters: {'hid_dim': 1024, 'theta': 1.2, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:26:39,706] Trial 27 finished with value: 0.7672197493032833 and parameters: {'hid_dim': 512, 'theta': 1.0, 'alpha': 0.005, 'beta': 0.05, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:27:11,101] Trial 28 finished with value: 0.3684335606702649 and parameters: {'hid_dim': 128, 'theta': 0.8, 'alpha': 0.005, 'beta': 0.1, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:28:58,393] Trial 29 finished with value: 0.5284431881102125 and parameters: {'hid_dim': 1024, 'theta': 0.6, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.3, 'win_size': 10}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:30:20,646] Trial 30 finished with value: 0.7028568673924995 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.1, 'win_size': 6}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:31:23,684] Trial 31 finished with value: 0.8513940424860533 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:32:26,681] Trial 32 finished with value: 0.8513580597375857 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:34:03,413] Trial 33 finished with value: 0.8110143193519697 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 8}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:35:50,631] Trial 34 finished with value: 0.6638288197598601 and parameters: {'hid_dim': 1024, 'theta': 1.2, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 10}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:36:22,024] Trial 35 finished with value: 0.40849858742044187 and parameters: {'hid_dim': 128, 'theta': 0.8, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:36:45,490] Trial 36 finished with value: 0.7983852838632681 and parameters: {'hid_dim': 256, 'theta': 1.4, 'alpha': 0.05, 'beta': 0.001, 'lr': 0.2, 'win_size': 2}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:37:48,521] Trial 37 finished with value: 0.8433186092577736 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.1, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:38:49,928] Trial 38 finished with value: 0.506925455240392 and parameters: {'hid_dim': 512, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.3, 'win_size': 10}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:39:21,465] Trial 39 finished with value: 0.6307918836583707 and parameters: {'hid_dim': 128, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.001, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:39:58,253] Trial 40 finished with value: 0.33008734538271034 and parameters: {'hid_dim': 256, 'theta': 1.2, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:41:01,377] Trial 41 finished with value: 0.8416093860590435 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
