[I 2025-09-26 15:51:32,019] A new study created in memory with name: no-name-b4ab6bfd-ac59-4416-b9d4-afa24f20af93
[I 2025-09-26 16:19:11,319] Trial 22 finished with value: 0.7746403798280616 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 500}. Best is trial 22 with value: 0.7746403798280616.
[I 2025-09-26 16:20:11,508] Trial 23 finished with value: 0.7744508902478394 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 500}. Best is trial 22 with value: 0.7746403798280616.
[I 2025-09-26 16:21:11,575] Trial 24 finished with value: 0.7748805594504438 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 500}. Best is trial 24 with value: 0.7748805594504438.
[I 2025-09-26 16:22:11,593] Trial 25 finished with value: 0.7745202351084497 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 500}. Best is trial 24 with value: 0.7748805594504438.
[I 2025-09-26 16:23:11,608] Trial 26 finished with value: 0.7751392244476889 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 500}. Best is trial 26 with value: 0.7751392244476889.
[I 2025-09-26 16:24:26,860] Trial 27 finished with value: 0.3788430935254833 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.001, 'win_size': 7, 'epochs': 500}. Best is trial 26 with value: 0.7751392244476889.
[I 2025-09-26 16:25:07,838] Trial 28 finished with value: 0.755895542341269 and parameters: {'hid_dim': 512, 'theta': 2.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.001, 'win_size': 3, 'epochs': 500}. Best is trial 26 with value: 0.7751392244476889.
[I 2025-09-26 16:26:21,229] Trial 29 finished with value: 0.2216660639785802 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.005, 'win_size': 9, 'epochs': 750}. Best is trial 26 with value: 0.7751392244476889.
[I 2025-09-26 16:27:21,138] Trial 30 finished with value: 0.7749850415477532 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 500}. Best is trial 26 with value: 0.7751392244476889.
[I 2025-09-26 16:28:21,156] Trial 31 finished with value: 0.7738552489833159 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 500}. Best is trial 26 with value: 0.7751392244476889.
