number,value,params_dropout_rate,params_lr,params_hid_dim,params_beta,params_win_size,params_weight_decay
197,0.3164326190092501,0.1,0.0005,2048,0.0,4,0.001
198,0.02787135259111589,0.1,0.0005,1024,0.1,4,0.0005
199,0.26456485766376436,0.1,5e-05,2048,0.0,4,0.001
200,0.24584811906595028,0.1,0.0005,2048,0.0,4,0.0001
201,0.3144088497658082,0.1,0.0005,2048,0.0,4,0.001
202,0.31360317789019104,0.1,0.0005,2048,0.0,4,0.001
203,0.31365236644953537,0.1,0.0005,2048,0.0,4,0.001
204,0.3167794061601757,0.1,0.0005,2048,0.0,4,0.001
205,0.31384294595011647,0.5,0.0005,2048,0.0,4,0.001
206,0.3146174058860784,0.1,0.0005,2048,0.0,4,0.001
207,0.3143097004824961,0.1,0.0005,2048,0.0,4,0.001
208,0.23856351764726394,0.1,0.0005,4096,0.0,4,0.001
209,0.314155282900805,0.1,0.0005,2048,0.0,4,0.001
210,0.31342685007585147,0.1,0.0005,2048,0.0,4,0.001
211,0.31614817568647285,0.1,0.0005,2048,0.0,4,0.001
212,0.31740113487018984,0.1,0.0005,2048,0.0,4,0.001
213,0.31733202616895734,0.1,0.0005,2048,0.0,4,0.001
214,0.313232385510952,0.1,0.0005,2048,0.0,4,0.001
215,0.31701587427384825,0.1,0.0005,2048,0.0,4,0.001
216,0.31526288613537784,0.1,0.0005,2048,0.0,4,0.001
217,0.0012243736853023957,0.1,0.0001,2048,0.2,4,0.001
218,0.31564850332236055,0.1,0.0005,2048,0.0,4,0.001
219,0.31423407064826275,0.1,0.0005,2048,0.0,4,0.001
220,0.0,0.3,0.0005,2048,0.3,4,0.005
221,0.31722059518806606,0.1,0.0005,2048,0.0,4,0.001
222,0.3141516429305012,0.1,0.0005,2048,0.0,4,0.001
223,0.3135434639989268,0.1,0.0005,2048,0.0,4,0.001
224,0.31614647858208733,0.1,0.0005,2048,0.0,4,0.001
225,0.09500299153999314,0.1,0.001,2048,0.0,4,0.001
226,0.31489540980211483,0.1,0.0005,2048,0.0,4,0.001
227,0.3109818982138926,0.1,0.0005,2048,0.0,4,0.001
228,0.31343808575567245,0.1,0.0005,2048,0.0,4,0.001
229,0.2808857849067273,0.5,0.0005,2048,0.0,8,0.001
230,0.03919557859690582,0.1,0.005,2048,0.0,4,0.001
231,0.31681770297268036,0.1,0.0005,2048,0.0,4,0.001
232,0.3124016509357837,0.1,0.0005,2048,0.0,4,0.001
233,0.31881818396017386,0.1,0.0005,2048,0.0,4,0.001
234,0.31466905394055034,0.1,0.0005,2048,0.0,4,0.001
235,0.31632922229605825,0.1,0.0005,2048,0.0,4,0.001
236,0.31336875342056164,0.1,0.0005,2048,0.0,4,0.001
237,0.000654803787198681,0.1,0.0005,2048,0.4,4,0.001
238,0.2469812257269319,0.1,0.0005,2048,0.0,4,0.0005
239,0.011539265179092371,0.1,0.0005,1024,0.0,4,0.001
240,0.0025028720301678354,0.1,0.0005,2048,0.1,4,0.001
241,0.31531029528980486,0.1,0.0005,2048,0.0,4,0.001
242,0.31231598660913956,0.1,0.0005,2048,0.0,4,0.001
243,0.31039072532172446,0.1,0.0005,2048,0.0,4,0.001
244,0.31489427865391945,0.1,0.0005,2048,0.0,4,0.001
245,0.31255567313808313,0.1,0.0005,2048,0.0,4,0.001
246,0.3182276656016456,0.1,0.0005,2048,0.0,4,0.001
247,0.26198953473079845,0.1,5e-05,2048,0.0,4,0.001
248,0.24584811906595028,0.1,0.0005,4096,0.0,4,0.0001
249,0.3125541854100368,0.3,0.0005,2048,0.0,4,0.001
