number,value,params_dropout_rate,params_lr,params_hid_dim,params_alpha,params_beta,params_win_size
101,0.3570228919853247,0.30000000000000004,0.01,512,4.0,0.0,4
102,0.5058948366761377,0.30000000000000004,0.01,512,5.0,0.0,4
103,0.5234035768896402,0.30000000000000004,0.01,512,5.0,0.0,4
104,0.5345724891140379,0.30000000000000004,0.01,512,5.0,0.0,4
105,0.0008538201309903011,0.30000000000000004,0.0005,512,5.0,0.0,4
106,0.5314485488538617,0.30000000000000004,0.01,512,5.0,0.0,4
107,0.23751785818231905,0.30000000000000004,0.01,2048,5.0,0.0,4
108,0.0,0.30000000000000004,5e-05,512,5.0,0.0,4
109,0.0007977529357398042,0.30000000000000004,0.01,512,5.0,0.0,4
110,0.5136579693495015,0.30000000000000004,0.01,512,5.0,0.0,4
111,0.40516668486617097,0.30000000000000004,0.01,512,5.0,0.0,4
112,0.490220547178271,0.30000000000000004,0.01,512,5.0,0.0,4
113,0.45819430086608665,0.30000000000000004,0.01,512,5.0,0.0,4
114,0.5218489599959922,0.30000000000000004,0.01,512,5.0,0.0,4
115,0.32533711928916603,0.30000000000000004,0.01,512,5.0,0.0,4
116,0.5135707673477583,0.30000000000000004,0.01,512,5.0,0.0,4
117,0.4195321862361345,0.30000000000000004,0.01,512,5.0,0.0,4
118,0.0,0.30000000000000004,1e-05,512,5.0,0.0,4
119,0.0,0.30000000000000004,0.0001,512,5.0,0.0,6
120,0.0001141656667552644,0.30000000000000004,0.01,512,5.0,0.6000000000000001,4
121,0.4497897667730027,0.30000000000000004,0.01,512,5.0,0.0,4
122,0.4065461612798343,0.30000000000000004,0.01,512,5.0,0.0,4
123,0.34804689698296815,0.30000000000000004,0.01,512,5.0,0.0,4
124,0.43976909894565397,0.30000000000000004,0.01,512,5.0,0.0,4
125,0.522916108286621,0.30000000000000004,0.01,512,5.0,0.0,4
126,2.8659043361132604e-05,0.30000000000000004,0.01,512,5.0,0.8,4
127,0.0006545607584004984,0.30000000000000004,0.005,256,5.0,0.0,4
128,0.0,0.30000000000000004,0.01,512,5.0,0.0,4
129,0.4739128606804106,0.30000000000000004,0.01,512,5.0,0.0,4
130,0.3557981793073027,0.30000000000000004,0.01,1024,5.0,0.0,4
131,0.35128268467311274,0.30000000000000004,0.01,512,5.0,0.0,4
132,0.5281799441019833,0.30000000000000004,0.01,512,5.0,0.0,4
133,0.4719514336917672,0.30000000000000004,0.01,512,5.0,0.0,4
134,0.48214909065066847,0.30000000000000004,0.01,512,5.0,0.0,4
135,0.48009710113380627,0.30000000000000004,0.01,512,5.0,0.0,4
136,0.009816456087409184,0.30000000000000004,0.01,512,5.0,0.0,4
137,0.000569822911502079,0.30000000000000004,0.0005,2048,5.0,0.0,4
138,8.551639974037295e-05,0.30000000000000004,0.01,512,5.0,0.0,4
139,0.5182664135399677,0.30000000000000004,0.01,512,5.0,0.0,4
140,0.0,0.30000000000000004,5e-05,512,5.0,0.0,4
141,0.46657198027775015,0.30000000000000004,0.01,512,5.0,0.0,4
142,0.4259102411677224,0.30000000000000004,0.01,512,5.0,0.0,4
143,0.5290587467506773,0.30000000000000004,0.01,512,5.0,0.0,4
144,0.5207601082420928,0.30000000000000004,0.01,512,5.0,0.0,4
145,0.4523337995466727,0.30000000000000004,0.01,512,5.0,0.0,4
146,0.5150321315406606,0.30000000000000004,0.01,512,5.0,0.0,4
147,0.389669521578249,0.30000000000000004,0.01,512,5.0,0.0,6
148,0.42266868715566797,0.30000000000000004,0.01,512,5.0,0.0,4
149,0.32432007944109237,0.30000000000000004,0.01,512,5.0,0.0,4
150,0.0,0.30000000000000004,1e-05,512,5.0,0.0,4
151,0.5228353825571249,0.30000000000000004,0.01,512,5.0,0.0,4
152,0.4015912643645974,0.30000000000000004,0.01,512,5.0,0.0,4
153,0.5103681977968443,0.30000000000000004,0.01,512,5.0,0.0,4
154,0.419626033750488,0.30000000000000004,0.01,512,5.0,0.0,4
155,0.4912970837918221,0.30000000000000004,0.01,512,5.0,0.0,4
156,0.0,0.30000000000000004,0.0001,512,0.0,0.0,4
157,0.5169410943899648,0.30000000000000004,0.01,512,5.0,0.0,4
158,0.0,0.30000000000000004,0.01,256,5.0,0.4,4
159,0.0,0.1,0.005,1024,5.0,0.0,4
160,0.3711379095684823,0.30000000000000004,0.01,512,5.0,0.0,4
161,0.3489155624074527,0.30000000000000004,0.01,512,5.0,0.0,4
162,0.43928799110218925,0.30000000000000004,0.01,512,5.0,0.0,4
163,0.34958132661534763,0.30000000000000004,0.01,512,5.0,0.0,4
164,0.4681498510143301,0.30000000000000004,0.01,512,5.0,0.0,4
165,0.1779238928257767,0.30000000000000004,0.01,512,2.0,0.0,4
166,0.46482127022698405,0.30000000000000004,0.01,512,5.0,0.0,4
167,0.2282302565522819,0.30000000000000004,0.01,2048,5.0,0.0,4
168,0.47760317606557795,0.30000000000000004,0.01,512,5.0,0.0,4
169,0.0,0.30000000000000004,0.01,512,5.0,0.2,4
170,0.0007968592996253068,0.30000000000000004,0.0005,512,5.0,0.0,4
171,0.506097221709218,0.30000000000000004,0.01,512,5.0,0.0,4
172,0.47341053109958214,0.30000000000000004,0.01,512,5.0,0.0,4
173,0.3459573121029043,0.30000000000000004,0.01,512,5.0,0.0,4
174,0.4643991641608329,0.30000000000000004,0.01,512,5.0,0.0,4
175,0.0,0.30000000000000004,5e-05,512,5.0,0.0,4
176,0.40520486116067084,0.30000000000000004,0.01,512,5.0,0.0,6
177,0.3644929665237302,0.30000000000000004,0.01,512,5.0,0.0,4
178,0.40696848556151793,0.30000000000000004,0.01,512,5.0,0.0,4
179,0.34010947630326926,0.30000000000000004,0.01,512,5.0,0.0,4
180,0.0,0.30000000000000004,0.01,512,0.0,0.0,4
181,0.43090808338310516,0.30000000000000004,0.01,512,5.0,0.0,4
182,0.4572787706144908,0.30000000000000004,0.01,512,5.0,0.0,4
183,0.4405822100805146,0.30000000000000004,0.01,512,5.0,0.0,4
184,0.44974914100977204,0.30000000000000004,0.01,512,5.0,0.0,4
185,0.40241677849325413,0.30000000000000004,0.01,512,5.0,0.0,4
186,0.5041760482533684,0.30000000000000004,0.01,512,5.0,0.0,4
187,0.0,0.30000000000000004,1e-05,512,5.0,0.0,4
188,0.09586782397166776,0.30000000000000004,0.01,512,1.0,0.0,4
189,0.41729492027689713,0.30000000000000004,0.01,512,5.0,0.0,4
190,0.005732694434900157,0.30000000000000004,0.01,256,5.0,0.0,4
191,0.5144311751039293,0.30000000000000004,0.01,512,5.0,0.0,4
192,0.49147024420039037,0.30000000000000004,0.01,512,5.0,0.0,4
193,0.497573964644463,0.30000000000000004,0.01,512,5.0,0.0,4
194,0.48239332847114885,0.30000000000000004,0.01,512,5.0,0.0,4
195,0.0,0.30000000000000004,0.0001,512,2.0,0.0,4
196,0.40331004113648533,0.30000000000000004,0.01,512,5.0,0.0,4
197,0.00025651629421701813,0.30000000000000004,0.01,1024,5.0,0.0,4
198,0.000170798191001454,0.30000000000000004,0.005,512,3.0,0.0,4
199,0.37370856808286795,0.30000000000000004,0.01,512,5.0,0.0,4
200,0.529974890561063,0.30000000000000004,0.01,512,5.0,0.0,4
201,0.5323792379228135,0.30000000000000004,0.01,512,5.0,0.0,4
202,0.508956906039597,0.30000000000000004,0.01,512,5.0,0.0,4
203,0.5256883412903922,0.30000000000000004,0.01,512,5.0,0.0,4
204,0.49495645773120645,0.30000000000000004,0.01,512,5.0,0.0,4
205,0.01445295743674603,0.30000000000000004,0.01,512,5.0,0.0,4
206,0.0,0.30000000000000004,0.01,2048,5.0,0.8,4
207,0.051897673652315984,0.30000000000000004,0.01,512,5.0,0.0,2
208,0.0,0.30000000000000004,0.01,512,5.0,1.0,4
209,0.0,0.30000000000000004,0.01,512,5.0,0.0,6
210,0.522564866222739,0.30000000000000004,0.01,512,5.0,0.0,4
211,0.4644671309810464,0.30000000000000004,0.01,512,5.0,0.0,4
212,0.5272539304274929,0.30000000000000004,0.01,512,5.0,0.0,4
213,0.39144778439455635,0.30000000000000004,0.01,512,5.0,0.0,4
214,0.3272230485475793,0.30000000000000004,0.01,512,5.0,0.0,4
215,0.0009101275968109438,0.30000000000000004,0.0005,512,5.0,0.0,4
216,0.49152856918654825,0.30000000000000004,0.01,512,5.0,0.0,4
217,0.0,0.30000000000000004,5e-05,512,5.0,0.0,4
218,0.0,0.30000000000000004,0.01,512,0.0,0.0,4
219,0.004367714249830415,0.30000000000000004,0.001,512,5.0,0.0,4
220,0.4631917444093065,0.30000000000000004,0.01,512,5.0,0.0,4
221,0.45431580848941877,0.30000000000000004,0.01,512,5.0,0.0,4
222,0.49485307222059305,0.30000000000000004,0.01,512,5.0,0.0,4
223,0.48592889888055385,0.30000000000000004,0.01,512,5.0,0.0,4
224,0.5163848688767945,0.30000000000000004,0.01,512,5.0,0.0,4
225,0.5162706600505109,0.30000000000000004,0.01,512,5.0,0.0,4
226,0.42821192794136936,0.30000000000000004,0.01,512,5.0,0.0,4
227,0.5089948421771537,0.30000000000000004,0.01,512,1.0,0.0,4
228,0.4900538737714178,0.30000000000000004,0.01,512,5.0,0.0,4
229,0.5166513743277994,0.30000000000000004,0.01,512,5.0,0.0,4
230,0.5112122248881992,0.30000000000000004,0.01,512,5.0,0.0,4
231,0.47228901534710394,0.30000000000000004,0.01,512,5.0,0.0,4
232,0.512203392502871,0.30000000000000004,0.01,512,5.0,0.0,4
233,0.5057265938443541,0.30000000000000004,0.01,512,5.0,0.0,4
234,0.4883681422891856,0.30000000000000004,0.01,512,5.0,0.0,4
235,0.09026763747531136,0.30000000000000004,0.01,512,2.0,0.0,4
236,0.00028248420637694223,0.30000000000000004,0.01,512,5.0,0.6000000000000001,4
237,0.0,0.30000000000000004,1e-05,512,5.0,0.0,4
238,0.3497615365913814,0.30000000000000004,0.01,1024,5.0,0.0,4
239,0.0,0.30000000000000004,0.0001,256,5.0,0.0,4
240,0.33443607086993127,0.30000000000000004,0.01,512,3.0,0.0,4
241,0.52277733463296,0.30000000000000004,0.01,512,5.0,0.0,4
242,0.5133985032891666,0.30000000000000004,0.01,512,5.0,0.0,4
243,0.5342018769940863,0.30000000000000004,0.01,512,5.0,0.0,4
244,0.4825508865988657,0.30000000000000004,0.01,512,5.0,0.0,4
245,0.4047442102340127,0.30000000000000004,0.01,512,5.0,0.0,4
246,0.5133724878333638,0.30000000000000004,0.01,512,5.0,0.0,4
247,0.52596441258268,0.30000000000000004,0.01,512,5.0,0.0,4
248,0.004373558999942264,0.30000000000000004,0.01,512,5.0,0.0,4
249,0.3399284045234024,0.30000000000000004,0.01,2048,5.0,0.0,2
250,0.002247850663482506,0.30000000000000004,0.005,512,5.0,0.0,4
251,8.551395487717008e-05,0.30000000000000004,0.01,512,5.0,0.0,6
252,0.5299733139165178,0.30000000000000004,0.01,512,5.0,0.0,4
253,0.49842524284671397,0.30000000000000004,0.01,512,5.0,0.0,4
254,0.0,0.30000000000000004,0.01,512,5.0,0.4,4
255,0.4932756286108348,0.30000000000000004,0.01,512,5.0,0.0,4
256,0.0008533706828259552,0.30000000000000004,0.0005,512,5.0,0.0,4
257,0.0,0.30000000000000004,0.01,512,0.0,0.0,4
258,0.44574855805840174,0.30000000000000004,0.01,512,5.0,0.0,4
259,0.0,0.30000000000000004,5e-05,512,5.0,0.0,4
260,0.5244312041539824,0.30000000000000004,0.01,512,5.0,0.0,4
261,0.5143033874823009,0.30000000000000004,0.01,512,5.0,0.0,4
262,0.003013454547789868,0.30000000000000004,0.001,512,1.0,0.0,4
263,0.4955425348920801,0.30000000000000004,0.01,512,5.0,0.0,4
264,0.49545081590563705,0.30000000000000004,0.01,512,5.0,0.0,4
265,0.372947540445882,0.30000000000000004,0.01,512,5.0,0.0,4
266,0.006302382077077267,0.30000000000000004,0.01,256,5.0,0.0,4
267,0.175188433867592,0.30000000000000004,0.01,512,2.0,0.0,4
268,0.0,0.30000000000000004,0.01,512,5.0,0.0,4
269,0.4634865268919661,0.30000000000000004,0.01,512,5.0,0.0,4
270,0.4410912997755488,0.30000000000000004,0.01,1024,3.0,0.0,4
271,0.5266672638573441,0.30000000000000004,0.01,512,5.0,0.0,4
272,0.0,0.30000000000000004,1e-05,512,5.0,0.0,4
273,0.0019059348237850983,0.30000000000000004,0.01,512,5.0,0.0,2
274,0.23724775700475545,0.30000000000000004,0.01,2048,5.0,0.0,4
275,2.8659043361132604e-05,0.30000000000000004,0.0001,512,5.0,0.0,4
276,0.0,0.30000000000000004,0.01,512,5.0,0.0,6
277,0.5190715133481911,0.30000000000000004,0.01,512,5.0,0.0,4
278,0.0007686122475396262,0.30000000000000004,0.005,512,5.0,0.0,4
279,0.48738621371847995,0.30000000000000004,0.01,512,5.0,0.0,4
280,0.5097412418260266,0.30000000000000004,0.01,512,5.0,0.0,4
281,0.48946860955261196,0.30000000000000004,0.01,512,5.0,0.0,4
282,0.5148906787794996,0.30000000000000004,0.01,512,5.0,0.0,4
283,0.4235042055685483,0.30000000000000004,0.01,512,5.0,0.0,4
284,0.5209608481623861,0.30000000000000004,0.01,512,5.0,0.0,4
285,0.5121081827785078,0.30000000000000004,0.01,512,5.0,0.0,4
286,0.0,0.30000000000000004,0.01,512,0.0,0.0,4
287,0.3524267155147145,0.30000000000000004,0.01,512,5.0,0.0,4
288,0.0011372252086885753,0.30000000000000004,0.0005,512,5.0,0.0,4
289,0.49702314592394714,0.30000000000000004,0.01,512,5.0,0.0,4
290,0.0,0.30000000000000004,5e-05,512,5.0,0.0,4
291,0.010087608868711722,0.30000000000000004,0.01,256,5.0,0.0,4
292,0.003016006793080009,0.30000000000000004,0.01,512,1.0,0.0,4
293,0.0,0.30000000000000004,0.001,512,5.0,0.0,2
294,0.359524999602476,0.30000000000000004,0.01,1024,5.0,0.0,4
295,0.4108816270315016,0.30000000000000004,0.01,512,5.0,0.0,4
296,0.6065581347189307,0.30000000000000004,0.01,512,2.0,0.0,6
297,0.6127347853094468,0.30000000000000004,0.01,512,2.0,0.0,6
298,0.5390841671493392,0.30000000000000004,0.01,512,2.0,0.0,6
299,0.6525163012467217,0.1,0.01,512,2.0,0.0,6
