[I 2025-10-07 01:13:06,308] Trial 23 finished with value: 0.26158001292334926 and parameters: {'hid_dim': 1024, 'beta': 0.0, 'dropout_rate': 0.5, 'win_size': 2, 'lr': 0.0001, 'weight_decay': 0.0001}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 01:21:28,359] Trial 24 finished with value: 0.26368336262024733 and parameters: {'hid_dim': 1024, 'beta': 0.0, 'dropout_rate': 0.5, 'win_size': 4, 'lr': 0.0001, 'weight_decay': 0.0001}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 01:30:03,214] Trial 25 finished with value: 0.019463818750021594 and parameters: {'hid_dim': 1024, 'beta': 0.4, 'dropout_rate': 0.5, 'win_size': 4, 'lr': 0.005, 'weight_decay': 0.0001}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 01:38:40,867] Trial 26 finished with value: 0.2641746229707977 and parameters: {'hid_dim': 1024, 'beta': 0.0, 'dropout_rate': 0.5, 'win_size': 4, 'lr': 0.0001, 'weight_decay': 0.0001}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 01:47:07,904] Trial 27 finished with value: 0.0109170112201305 and parameters: {'hid_dim': 1024, 'beta': 0.1, 'dropout_rate': 0.3, 'win_size': 4, 'lr': 0.0001, 'weight_decay': 0.001}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 02:13:08,355] Trial 28 finished with value: 0.0 and parameters: {'hid_dim': 4096, 'beta': 0.3, 'dropout_rate': 0.5, 'win_size': 4, 'lr': 0.0001, 'weight_decay': 0.0005}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 02:21:33,455] Trial 29 finished with value: 0.002019765680006907 and parameters: {'hid_dim': 1024, 'beta': 0.1, 'dropout_rate': 0.5, 'win_size': 4, 'lr': 0.0001, 'weight_decay': 0.0005}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 02:33:29,246] Trial 30 finished with value: 0.24584811906595028 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.001, 'weight_decay': 0.0001}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 02:42:07,255] Trial 31 finished with value: 0.26884094877400105 and parameters: {'hid_dim': 1024, 'beta': 0.0, 'dropout_rate': 0.5, 'win_size': 4, 'lr': 0.0001, 'weight_decay': 0.0001}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 02:50:27,335] Trial 32 finished with value: 0.27426449799098845 and parameters: {'hid_dim': 1024, 'beta': 0.0, 'dropout_rate': 0.5, 'win_size': 4, 'lr': 0.0001, 'weight_decay': 0.0001}. Best is trial 16 with value: 0.28354173064669713.
