number,value,params_lr,params_hid_dim,params_lambd,params_beta,params_theta,params_win_size,params_epochs
94,0.8052637806579688,0.005,64,0.1,0.01,7.0,3,1000
95,0.8503837203232792,0.05,256,0.1,0.01,7.0,3,1000
96,0.8499702458061207,0.005,128,0.1,0.01,7.0,3,1000
97,0.09042662254346247,0.1,256,0.001,0.01,7.0,9,1000
98,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
99,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
100,0.8503837203232792,0.01,256,0.1,0.01,7.0,3,1000
101,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
102,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
103,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
104,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
105,0.676183551821495,0.005,32,0.1,0.01,7.0,3,1000
106,0.10990679751833624,0.005,256,0.01,0.01,7.0,7,1000
107,0.2193197933848331,0.05,64,0.1,0.01,2.0,3,1000
108,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
109,0.849781087508395,0.005,128,0.001,0.01,7.0,3,1000
110,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
111,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
112,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
113,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
114,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
115,0.0907152177257095,0.005,256,0.1,0.01,7.0,9,1000
116,0.8503837203232792,0.01,256,0.1,0.01,7.0,3,1000
117,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
118,0.8503837203232792,0.1,256,0.1,0.01,7.0,3,1000
119,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
120,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
121,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
122,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
123,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
124,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
125,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
126,0.18120353058180724,0.005,32,0.1,0.01,2.0,7,1000
127,0.8503837203232792,0.005,256,0.01,0.01,7.0,3,1000
128,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
129,0.8503837203232792,0.05,256,0.1,0.01,7.0,3,1000
130,0.790612777544032,0.005,64,0.001,0.01,7.0,3,1000
131,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
