[I 2025-09-16 01:04:03,377] A new study created in memory with name: no-name-5982d125-ba8d-47cf-b664-18b6f5d80912
[I 2025-09-16 01:41:25,625] Trial 22 finished with value: 0.8209616102591561 and parameters: {'hid_dim': 256, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.01, 'win_size': 7, 'epochs': 500}. Best is trial 22 with value: 0.8209616102591561.
[I 2025-09-16 01:43:01,643] Trial 23 finished with value: 0.8209824602553715 and parameters: {'hid_dim': 256, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.01, 'win_size': 7, 'epochs': 500}. Best is trial 23 with value: 0.8209824602553715.
[I 2025-09-16 01:45:21,954] Trial 24 finished with value: 0.8188436943730331 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.1, 'win_size': 7, 'epochs': 500}. Best is trial 23 with value: 0.8209824602553715.
[I 2025-09-16 01:47:01,083] Trial 25 finished with value: 0.8188558722985017 and parameters: {'hid_dim': 256, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.01, 'win_size': 7, 'epochs': 500}. Best is trial 23 with value: 0.8209824602553715.
[I 2025-09-16 01:48:39,791] Trial 26 finished with value: 0.8207348395192317 and parameters: {'hid_dim': 256, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.01, 'win_size': 7, 'epochs': 500}. Best is trial 23 with value: 0.8209824602553715.
[I 2025-09-16 01:49:58,561] Trial 27 finished with value: 0.8025824341627177 and parameters: {'hid_dim': 256, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.01, 'win_size': 3, 'epochs': 750}. Best is trial 23 with value: 0.8209824602553715.
[I 2025-09-16 01:52:24,955] Trial 28 finished with value: 0.8313122611966591 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.2, 'lr': 0.01, 'win_size': 5, 'epochs': 1000}. Best is trial 28 with value: 0.8313122611966591.
[I 2025-09-16 01:54:20,786] Trial 29 finished with value: 0.8312501356437734 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.2, 'lr': 0.01, 'win_size': 5, 'epochs': 1000}. Best is trial 28 with value: 0.8313122611966591.
[I 2025-09-16 01:56:16,521] Trial 30 finished with value: 0.8073772941710354 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.001, 'win_size': 5, 'epochs': 1000}. Best is trial 28 with value: 0.8313122611966591.
[I 2025-09-16 01:58:12,060] Trial 31 finished with value: 0.8314375204595481 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.2, 'lr': 0.01, 'win_size': 5, 'epochs': 1000}. Best is trial 31 with value: 0.8314375204595481.
[I 2025-09-16 02:00:07,782] Trial 32 finished with value: 0.8312693848825351 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.2, 'lr': 0.01, 'win_size': 5, 'epochs': 1000}. Best is trial 31 with value: 0.8314375204595481.
[I 2025-09-16 02:02:03,365] Trial 33 finished with value: 0.8210325838896987 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.2, 'lr': 0.1, 'win_size': 5, 'epochs': 1000}. Best is trial 31 with value: 0.8314375204595481.
[I 2025-09-16 02:03:59,023] Trial 34 finished with value: 0.8309828238898362 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.2, 'lr': 0.01, 'win_size': 5, 'epochs': 1000}. Best is trial 31 with value: 0.8314375204595481.
[I 2025-09-16 02:05:54,653] Trial 35 finished with value: 0.8243530512299889 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 5, 'epochs': 1000}. Best is trial 31 with value: 0.8314375204595481.
[I 2025-09-16 02:07:49,828] Trial 36 finished with value: 0.8313093952791594 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.2, 'lr': 0.01, 'win_size': 5, 'epochs': 1000}. Best is trial 31 with value: 0.8314375204595481.
[I 2025-09-16 02:09:40,145] Trial 37 finished with value: 0.8381435976621002 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 37 with value: 0.8381435976621002.
[I 2025-09-16 02:11:31,035] Trial 38 finished with value: 0.8379590998787774 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 37 with value: 0.8381435976621002.
[I 2025-09-16 02:13:21,295] Trial 39 finished with value: 0.8382246001352808 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 39 with value: 0.8382246001352808.
[I 2025-09-16 02:15:11,315] Trial 40 finished with value: 0.8383378831616035 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 40 with value: 0.8383378831616035.
