number,value,params_dropout_rate,params_lr,params_hid_dim,params_alpha,params_beta,params_win_size
96,0.7784402572030037,0.30000000000000004,0.01,256,1.0,0.0,2
97,0.6028071274227407,0.30000000000000004,0.01,16,1.0,0.0,2
98,0.7742750757136655,0.30000000000000004,0.01,256,1.0,0.0,2
99,0.7034990774482774,0.30000000000000004,0.01,32,1.0,0.0,2
100,0.7825424114490156,0.30000000000000004,0.01,256,1.0,0.0,2
101,0.7804240332012053,0.30000000000000004,0.01,256,1.0,0.0,2
102,0.7802045127949672,0.30000000000000004,0.01,256,1.0,0.0,2
103,0.7713955675549621,0.30000000000000004,0.01,256,5.0,0.0,2
104,0.7853734231911685,0.30000000000000004,0.01,256,1.0,0.0,2
105,0.7971760468531933,0.30000000000000004,0.001,256,1.0,0.0,2
106,0.7949288604425796,0.30000000000000004,0.001,256,1.0,0.0,2
107,0.7891002510406625,0.30000000000000004,0.001,256,1.0,0.0,2
108,0.7903626649194053,0.30000000000000004,0.001,256,4.0,0.0,6
109,0.7795556741814927,0.4,0.001,256,4.0,0.0,6
110,0.7469938033138824,0.30000000000000004,0.001,64,4.0,0.0,6
111,0.005867396283808872,0.30000000000000004,0.001,256,4.0,1.0,6
112,0.0,0.30000000000000004,0.001,256,0.0,0.0,6
113,0.7948498745796547,0.30000000000000004,0.001,256,1.0,0.0,2
114,0.793419725704589,0.30000000000000004,0.001,256,1.0,0.0,2
115,0.7909907974849865,0.30000000000000004,0.001,256,1.0,0.0,2
116,0.7817214265980912,0.30000000000000004,0.001,256,4.0,0.0,6
117,0.7902804047540627,0.30000000000000004,0.001,256,1.0,0.0,2
118,0.3697244155615553,0.30000000000000004,0.001,256,1.0,0.8,2
119,0.7910448692018938,0.30000000000000004,0.001,256,1.0,0.0,2
120,0.5718178119601021,0.4,0.001,16,1.0,0.0,2
121,0.7926628868287132,0.30000000000000004,0.001,256,1.0,0.0,2
122,0.7897516543059465,0.30000000000000004,0.001,256,1.0,0.0,2
123,0.7934804128763342,0.30000000000000004,0.001,256,1.0,0.0,2
124,0.7941637546242836,0.30000000000000004,0.001,256,1.0,0.0,2
125,0.7887009834200968,0.30000000000000004,0.001,256,1.0,0.0,2
126,0.7955940832152599,0.30000000000000004,0.001,256,1.0,0.0,2
127,0.7915250594015699,0.30000000000000004,0.001,256,5.0,0.0,2
128,0.712542420147727,0.30000000000000004,0.001,32,5.0,0.0,2
129,0.7875179641061613,0.30000000000000004,0.001,256,5.0,0.0,2
130,0.7753092061408191,0.30000000000000004,0.001,256,5.0,0.0,6
131,0.7931919273883694,0.30000000000000004,0.001,256,1.0,0.0,2
132,0.7933304267778934,0.30000000000000004,0.001,256,1.0,0.0,2
133,0.7956143126190307,0.30000000000000004,0.001,256,1.0,0.0,2
134,0.7928544215271259,0.30000000000000004,0.001,256,1.0,0.0,2
135,0.7950008251975568,0.30000000000000004,0.001,256,1.0,0.0,2
136,0.7967397307823898,0.30000000000000004,0.001,256,1.0,0.0,2
137,0.42965931493561516,0.30000000000000004,0.001,64,1.0,0.6000000000000001,2
138,0.790214774287135,0.30000000000000004,0.001,256,1.0,0.0,2
139,0.7905108474214866,0.30000000000000004,0.001,256,1.0,0.0,2
140,0.793097062063373,0.30000000000000004,0.001,256,1.0,0.0,2
141,0.7975856699200619,0.30000000000000004,0.001,256,1.0,0.0,2
142,0.7925574430718852,0.30000000000000004,0.001,256,1.0,0.0,2
143,0.7950089427697516,0.30000000000000004,0.001,256,1.0,0.0,2
144,0.6851539043883078,0.30000000000000004,1e-05,256,1.0,0.0,2
145,0.7933569922907365,0.30000000000000004,0.001,256,1.0,0.0,2
146,0.7964135941426761,0.30000000000000004,0.001,256,1.0,0.0,2
147,0.794175337535219,0.30000000000000004,0.001,256,1.0,0.0,2
148,0.0,0.30000000000000004,0.001,256,0.0,0.0,2
149,0.7731931861024123,0.30000000000000004,5e-05,256,1.0,0.0,2
150,0.6169278167435723,0.30000000000000004,0.001,16,1.0,0.0,2
151,0.788206185309022,0.30000000000000004,0.001,256,1.0,0.0,2
152,0.7926789232294955,0.30000000000000004,0.001,256,1.0,0.0,2
153,0.7952000802587204,0.30000000000000004,0.001,256,1.0,0.0,2
154,0.7916130695882142,0.30000000000000004,0.001,256,1.0,0.0,2
155,0.7931612322012133,0.30000000000000004,0.001,256,1.0,0.0,2
156,0.7956571835467364,0.30000000000000004,0.001,256,1.0,0.0,2
157,0.7936416064200628,0.30000000000000004,0.001,256,1.0,0.0,2
158,0.7065735332408654,0.30000000000000004,0.001,32,1.0,0.0,2
159,0.7935387868810352,0.30000000000000004,0.001,256,1.0,0.0,2
160,0.7910461161540305,0.30000000000000004,0.001,256,1.0,0.0,2
161,0.7927389934234141,0.30000000000000004,0.001,256,1.0,0.0,2
162,0.7934049335401504,0.30000000000000004,0.001,256,1.0,0.0,2
163,0.7979386082743957,0.30000000000000004,0.001,256,1.0,0.0,2
164,0.7895008234705613,0.30000000000000004,0.001,256,1.0,0.0,2
165,0.7949723492175256,0.30000000000000004,0.001,256,1.0,0.0,2
166,0.6824724893608695,0.30000000000000004,1e-05,256,1.0,0.0,2
167,0.7906467697874423,0.30000000000000004,0.001,256,1.0,0.0,2
168,0.7418341583085962,0.30000000000000004,0.001,64,1.0,0.0,2
169,0.7744375896504025,0.30000000000000004,0.001,128,1.0,0.0,2
170,0.7925697831522611,0.30000000000000004,0.001,256,1.0,0.0,2
171,0.7908509536136176,0.30000000000000004,0.001,256,1.0,0.0,2
172,0.7929621085234176,0.30000000000000004,0.001,256,1.0,0.0,2
173,0.7949383513595555,0.30000000000000004,0.001,256,1.0,0.0,2
174,0.7646962656427897,0.30000000000000004,5e-05,256,1.0,0.0,2
175,0.0,0.30000000000000004,0.001,256,0.0,0.0,2
176,0.7964773383380415,0.30000000000000004,0.001,256,1.0,0.0,2
177,0.7957516254917704,0.30000000000000004,0.001,256,1.0,0.0,2
178,0.7887567830614065,0.30000000000000004,0.001,256,1.0,0.0,2
179,0.7888013204492891,0.30000000000000004,0.001,256,1.0,0.0,2
180,0.793366277434945,0.30000000000000004,0.001,256,1.0,0.0,2
181,0.7953033953601052,0.30000000000000004,0.001,256,1.0,0.0,2
182,0.7949241713387041,0.30000000000000004,0.001,256,1.0,0.0,2
183,0.7949589612667793,0.30000000000000004,0.001,256,1.0,0.0,2
184,0.7915733553050996,0.30000000000000004,0.001,256,1.0,0.0,2
185,0.7931995120338874,0.30000000000000004,0.001,256,1.0,0.0,2
186,0.786869887265147,0.30000000000000004,0.001,256,1.0,0.0,2
187,0.7926018615599314,0.30000000000000004,0.001,256,1.0,0.0,2
188,0.7948780567259845,0.30000000000000004,0.001,256,1.0,0.0,2
189,0.61445436207479,0.30000000000000004,0.001,16,1.0,0.0,2
190,0.7919245041035081,0.30000000000000004,0.001,256,1.0,0.0,2
191,0.789045329203348,0.30000000000000004,0.001,256,1.0,0.0,2
192,0.7927232173368447,0.30000000000000004,0.001,256,1.0,0.0,2
